year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2004,JPN,Japan,AIA,Anguilla,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",576257.0
2004,JPN,Japan,ARE,United Arab Emirates,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,14467783568.0
2004,JPN,Japan,ARE,United Arab Emirates,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",1159553693.0
2004,JPN,Japan,ARE,United Arab Emirates,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",412616.0
2004,JPN,Japan,ARE,United Arab Emirates,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,2449467867.0
2004,JPN,Japan,ARG,Argentina,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",485406.0
2004,JPN,Japan,ARG,Argentina,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,15855814.0
2004,JPN,Japan,AUS,Australia,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",5436362233.0
2004,JPN,Japan,AUS,Australia,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,371094146.0
2004,JPN,Japan,AUS,Australia,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",98359838.0
2004,JPN,Japan,AUS,Australia,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",48780539.0
2004,JPN,Japan,AUS,Australia,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,2468975359.0
2004,JPN,Japan,AUT,Austria,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",17307.0
2004,JPN,Japan,AUT,Austria,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",10340.0
2004,JPN,Japan,BEL,Belgium,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",4344688.0
2004,JPN,Japan,BEL,Belgium,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",197808.0
2004,JPN,Japan,BEL,Belgium,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,14902.0
2004,JPN,Japan,BGD,Bangladesh,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",49815.0
2004,JPN,Japan,BHR,Bahrain,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",193800691.0
2004,JPN,Japan,BHR,Bahrain,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",41898.0
2004,JPN,Japan,BHR,Bahrain,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,2310891.0
2004,JPN,Japan,BLZ,Belize,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",14049.0
2004,JPN,Japan,BMU,Bermuda,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",12773.0
